symptom,display_name,source_file,phase,order,question_id,field,code,ui_label,question_text,response_type,question_role,dedup_family,canonical_concept,parent_field,detail_field,if_positive_ask,skip_if,ask_if
abdominal_pain,Abdominal Pain,abdominal_pain.json,core_characterization,11,functional_impact,functional_impact,PAIN-020,Functional impact,"How is it affecting what you can do, such as walking, standing, eating, sleeping, breathing, or daily activities?",SHORT_TEXT,qualifier,,functional_impact,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,12,sudden_onset,sudden_onset,HEADQ-001,Sudden onset,"Did the pain start suddenly, meaning it came on abruptly rather than gradually?",BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,sudden_onset,,sudden_onset_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,13,tearing_pain,tearing_pain,PAIN-002,Tearing pain,"Does the pain feel tearing or ripping, especially toward the back?",BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,tearing_pain,,tearing_pain_details,,FIELD_ALREADY_CAPTURED|SEVERITY_BELOW_7,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,14,abdominal_pulsation,abdominal_pulsation,ABD-001,Pulsing feeling in abdomen,Does it feel like there is a pulsing or throbbing feeling in your abdomen?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,abdominal_pulsation,,abdominal_pulsation_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,15,vomiting,vomiting,GI-002,Vomiting,Have you been vomiting?,BOOLEAN_WITH_OPTIONAL_DETAILS,parent_symptom,ros:vomiting,vomiting,,vomiting_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,16,vomiting_frequency,vomiting_frequency,GIQ-001,Vomiting frequency,How often are you vomiting?,SHORT_TEXT,detail,ros:vomiting,vomiting_frequency,vomiting,,,FIELD_ALREADY_CAPTURED|PARENT_NEGATIVE,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,17,dehydration,dehydration,CON-011A,Dehydration,"Have you been very dry, dizzy when standing, or unable to keep fluids down?",BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,dehydration,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,18,low_urine_output,low_urine_output,CON-011B,Low urine output,Have you been passing much less urine than usual?,BOOLEAN_WITH_OPTIONAL_DETAILS,red_flag_subtype,ros:low_urine_output,low_urine_output,,,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,19,blood_in_stool,blood_in_stool,GI-004B,Blood in stool,Have you noticed blood in the stool?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:blood_in_stool,blood_in_stool,,blood_in_stool_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,20,melena,melena,GIQ-021,Black or tarry stool,Has the stool been black or tarry?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:melena,melena,,melena_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,21,bowel_obstruction_symptom,bowel_obstruction_symptom,GI-023,Bowel obstruction symptom,Are you unable to pass stool or gas?,BOOLEAN_WITH_OPTIONAL_DETAILS,red_flag_subtype,ros:bowel_obstruction,bowel_obstruction_symptom,,unable_to_pass_stool_or_flatus_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,22,fainting,fainting,NEU-002,Fainting,Have you fainted or passed out?,BOOLEAN_WITH_OPTIONAL_DETAILS,parent_symptom,ros:fainting,fainting,,fainting_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,23,fever,fever,CON-001,Fever,Have you had a fever?,BOOLEAN_WITH_OPTIONAL_DETAILS,parent_symptom,ros:fever,fever,,fever_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,24,pregnancy_context,pregnancy_context,GYNHX-001,Pregnancy context,"Could you be pregnant now, or are you recently postpartum?",BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,pregnancy_context,,pregnancy_context_details,,FIELD_ALREADY_CAPTURED|PATIENT_ELDERLY_SKIP_PREGNANCY,SEX_FEMALE_REPRODUCTIVE_AGE
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,25,abdominal_distension,abdominal_distension,GI-005,Abdominal swelling or bloating,Has your abdomen become swollen or more bloated than usual?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,abdominal_distension,,abdominal_distension_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,high_priority_followup,26,recent_trauma,recent_trauma,CTX-004,Recent trauma,"Did this start after an injury, fall, blow, or accident?",BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,recent_trauma,,recent_trauma_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,27,diarrhea,diarrhea,GI-003,Loose stool or diarrhea,Have you had loose stool or diarrhea?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:diarrhea,diarrhea,,diarrhea_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,28,stool_frequency,stool_frequency,GIQ-008,Stool frequency,How often are you passing stool?,COUNT_OR_SHORT_TEXT,detail,,stool_frequency,diarrhea,,,FIELD_ALREADY_CAPTURED|PARENT_NEGATIVE,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,29,stool_content,stool_content,GIQ-014,Stool content,What is the stool like?,SHORT_TEXT,detail,,stool_content,diarrhea,,,FIELD_ALREADY_CAPTURED|PARENT_NEGATIVE,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,30,constipation,constipation,GI-011,Difficulty passing stool or constipation,Have you been constipated or had difficulty passing stool?,BOOLEAN_WITH_OPTIONAL_DETAILS,parent_symptom,ros:constipation,constipation,,constipation_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,31,stool_consistency,stool_consistency,GIQ-015,Stool consistency,What is the stool like when it comes?,SHORT_TEXT,detail,,stool_consistency,constipation,,,FIELD_ALREADY_CAPTURED|PARENT_NEGATIVE,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,32,difficulty_passing_stool,difficulty_passing_stool,GIQ-017,Difficulty passing stool,Are you having difficulty passing stool?,BOOLEAN_WITH_OPTIONAL_DETAILS,detail,ros:constipation,difficulty_passing_stool,constipation,difficulty_passing_stool_details,,FIELD_ALREADY_CAPTURED|PARENT_NEGATIVE,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,33,loss_of_appetite,loss_of_appetite,GI-006,Loss of appetite,Has your appetite gone down?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:loss_of_appetite,loss_of_appetite,,loss_of_appetite_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,34,food_exposure,food_exposure,CTX-002,Food exposure,Did this seem to start after any suspicious food or meal?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:food_exposure,food_exposure,,food_exposure_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,35,dysuria,dysuria,GU-001,Pain or burning when passing urine,Do you have pain or burning when you pass urine?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:dysuria,dysuria,,dysuria_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,36,urinary_frequency,urinary_frequency,GU-002,Passing urine more often,Are you passing urine more often than usual?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:urinary_frequency,urinary_frequency,,urinary_frequency_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,37,urinary_urgency,urinary_urgency,GU-003,Sudden urge to pass urine,Do you get a sudden strong urge to pass urine?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:urinary_urgency,urinary_urgency,,urinary_urgency_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,38,hematuria,hematuria,GU-006,Blood in urine,Have you noticed blood in your urine?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:hematuria,hematuria,,hematuria_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,39,flank_pain,flank_pain,GU-007,Pain in the side or back near the kidney,Do you have pain in your side or back near the kidney?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:flank_pain,flank_pain,,flank_pain_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,40,prior_stones,prior_stones,PMH-023,Prior stones,Have you had kidney stones before?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,prior_stones,,prior_stones_details,,FIELD_ALREADY_CAPTURED,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,41,lmp,lmp,GYNHX-002,Last menstrual period,When was the first day of your last menstrual period?,TEMPORAL_OR_SHORT_TEXT,detail,,lmp,pregnancy_context,,,FIELD_ALREADY_CAPTURED|PARENT_NEGATIVE|PATIENT_ELDERLY_SKIP_PREGNANCY,SEX_FEMALE_REPRODUCTIVE_AGE
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,42,vaginal_bleeding,vaginal_bleeding,GYN-001,Vaginal bleeding,Have you had any bleeding from the vagina?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:vaginal_bleeding,vaginal_bleeding,,vaginal_bleeding_details,,FIELD_ALREADY_CAPTURED|PATIENT_ELDERLY_SKIP_PREGNANCY,SEX_FEMALE_REPRODUCTIVE_AGE
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,43,menstrual_flow_pads,menstrual_flow_pads,GYNQ-010,Menstrual flow quantity (pads per day),How many pads or tampons do you use on your heaviest day?,NUMERIC_OR_SHORT_TEXT,detail,,menstrual_flow_pads,vaginal_bleeding,,,FIELD_ALREADY_CAPTURED|PARENT_NEGATIVE,SEX_FEMALE_REPRODUCTIVE_AGE
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,44,vaginal_discharge,vaginal_discharge,GYN-002,Vaginal discharge,Have you noticed any vaginal discharge?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:vaginal_discharge,vaginal_discharge,,vaginal_discharge_details,,FIELD_ALREADY_CAPTURED|PATIENT_ELDERLY_SKIP_PREGNANCY,SEX_FEMALE_REPRODUCTIVE_AGE
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,45,discharge_color,discharge_color,GYNQ-001,Discharge colour,What color is the discharge?,SHORT_TEXT,detail,,discharge_color,vaginal_discharge,,,FIELD_ALREADY_CAPTURED|PARENT_NEGATIVE,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,46,discharge_consistency,discharge_consistency,GYNQ-002,Discharge consistency,"What is the discharge like: thin, thick, clumpy, or something else?",SHORT_TEXT,detail,,discharge_consistency,vaginal_discharge,,,FIELD_ALREADY_CAPTURED|PARENT_NEGATIVE,
abdominal_pain,Abdominal Pain,abdominal_pain.json,targeted_followup,47,discharge_odor,discharge_odor,GYNQ-003,Discharge odor,Does it have any odor?,BOOLEAN_WITH_OPTIONAL_DETAILS,detail,,discharge_odor,vaginal_discharge,discharge_odor_details,,FIELD_ALREADY_CAPTURED|PARENT_NEGATIVE,
abdominal_pain,Abdominal Pain,abdominal_pain.json,final_closeout,48,final_closeout_question,final_closeout_question,CLOSE-001,Anything else,Is there anything else you want to mention that we have not asked about yet?,SHORT_TEXT,qualifier,,final_closeout_question,,,,,
back_pain,Back pain,back_pain.json,core_characterization,1,onset,onset,EVENT-001,Onset,When did the back pain start?,TEMPORAL_WITH_UNIT_OR_SHORT_TEXT,qualifier,,onset,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,core_characterization,2,pattern,pattern,EVENT-003,Pattern,"Is the pain constant, or does it come and go in episodes?",SHORT_TEXT,qualifier,,pattern,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,core_characterization,3,duration,duration,EVENT-002,Duration,How long has this been going on altogether?,TEMPORAL_WITH_UNIT_OR_SHORT_TEXT,qualifier,,duration,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,core_characterization,4,location,location,PAIN-014,Pain site,Where is the back pain located?,SHORT_TEXT,qualifier,ros:location,location,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,core_characterization,5,pain_specific_location,pain_specific_location,PAIN-014B,Pain specific location,Can you point to the exact spot in your back?,SHORT_TEXT,qualifier,ros:location,pain_specific_location,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,core_characterization,6,character,character,PAIN-016,Character,"What does the back pain feel like, for example throbbing, sharp, dull, burning, cramping, pressure-like, stabbing, or aching?",SHORT_TEXT,qualifier,,character,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,core_characterization,7,severity,severity,PAIN-015,Severity,"On a scale of 0 to 10, how severe is it?",SCALE_0_10,qualifier,,severity,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,core_characterization,8,radiation,radiation,PAIN-017,Radiation,"Does the pain travel anywhere else, such as the back, groin, chest, shoulder, or leg? If yes, where?",SHORT_TEXT,qualifier,,radiation,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,core_characterization,9,aggravating_factors,aggravating_factors,PAIN-018,Aggravating factors,"What makes it worse, such as movement, coughing, eating, urinating, passing stool, touching it, or nothing?",SHORT_TEXT,qualifier,,aggravating_factors,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,core_characterization,10,relieving_factors,relieving_factors,PAIN-019,Relieving factors,"What makes it better, such as rest, lying still, medicines, food, passing urine or stool, or nothing?",SHORT_TEXT,qualifier,,relieving_factors,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,core_characterization,11,functional_impact,functional_impact,PAIN-020,Functional impact,"How is it affecting what you can do, such as walking, standing, eating, sleeping, breathing, or daily activities?",SHORT_TEXT,qualifier,,functional_impact,,,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,12,recent_trauma,recent_trauma,CTX-004,Recent trauma,Did this start after any recent trauma or injury?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,recent_trauma,,recent_trauma_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,13,leg_weakness,leg_weakness,NEURO-007,Leg weakness,Any weakness in one or both legs?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,leg_weakness,,leg_weakness_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,14,numbness,numbness,NEURO-004,Numbness,Any numbness in the legs or elsewhere?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:numbness,numbness,,numbness_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,15,tingling,tingling,NEURO-005,Tingling,Any tingling or pins-and-needles in the legs?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:tingling,tingling,,tingling_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,16,saddle_anesthesia,saddle_anesthesia,NEURO-018,Saddle anesthesia,Any numbness around the groin or saddle area?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,saddle_anesthesia,,saddle_anesthesia_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,17,bowel_dysfunction,bowel_dysfunction,SPINE-001A,Bowel dysfunction,Have you had new trouble controlling your bowels or new loss of stool control?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:bowel_dysfunction,bowel_dysfunction,,bowel_dysfunction_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,18,bladder_dysfunction,bladder_dysfunction,SPINE-001B,Bladder dysfunction,Have you had new trouble passing urine or controlling your bladder?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:bladder_dysfunction,bladder_dysfunction,,bladder_dysfunction_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,19,fever,fever,CON-001,Fever,Any fever with the back pain?,BOOLEAN_WITH_OPTIONAL_DETAILS,parent_symptom,ros:fever,fever,,fever_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,20,history_of_cancer,history_of_cancer,PMH-014,History of cancer,Any history of cancer?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,history_of_cancer,,history_of_cancer_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,21,fracture_risk_history,fracture_risk_history,PMH-021,Fracture risk history,Do you have osteoporosis or long-term steroid use?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:back_pain,fracture_risk_history,,osteoporosis_or_steroid_use_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,high_priority_followup,22,weight_loss,weight_loss,CON-007,Weight loss,Any unexplained weight loss?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:weight_loss,weight_loss,,weight_loss_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,targeted_followup,23,leg_pain,leg_pain,MSK-011,Leg pain,Any pain going into the leg?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,leg_pain,,leg_pain_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,targeted_followup,24,stiffness,stiffness,MSK-010,Stiffness,Any stiffness in the back?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:stiffness,stiffness,,stiffness_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,targeted_followup,25,pain_worse_with_movement,pain_worse_with_movement,MSKQ-010,Worse with movement,Is the pain worse with movement?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,pain_worse_with_movement,,pain_worse_with_movement_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,targeted_followup,26,recent_heavy_lifting,recent_heavy_lifting,CTX-009,Recent heavy lifting,Did this start after any recent heavy lifting or strain?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,recent_heavy_lifting,,recent_heavy_lifting_details,,FIELD_ALREADY_CAPTURED,
back_pain,Back pain,back_pain.json,final_closeout,27,final_closeout_question,final_closeout_question,CLOSE-001,Anything else,Is there anything else you want to mention that we have not asked about yet?,SHORT_TEXT,qualifier,,final_closeout_question,,,,,
chest_pain,Chest Pain,chest_pain.json,core_characterization,1,onset,onset,EVENT-001,Onset,When did the chest pain start?,TEMPORAL_WITH_UNIT_OR_SHORT_TEXT,qualifier,,onset,,,,,
chest_pain,Chest Pain,chest_pain.json,core_characterization,2,pattern,pattern,EVENT-003,Pattern,"Is it there all the time, or does it come and go?",SHORT_TEXT,qualifier,,pattern,,,,,
chest_pain,Chest Pain,chest_pain.json,core_characterization,3,episode_duration,episode_duration,EVENT-004,Episode duration,"When it happens, how long does each episode last?",TEMPORAL_WITH_UNIT_OR_SHORT_TEXT,detail,,episode_duration,pattern,,,FIELD_ALREADY_CAPTURED|PATTERN_NOT_EPISODIC,
chest_pain,Chest Pain,chest_pain.json,core_characterization,4,duration,duration,EVENT-002,Duration,How long has this been going on altogether?,TEMPORAL_WITH_UNIT_OR_SHORT_TEXT,qualifier,,duration,,,,,
chest_pain,Chest Pain,chest_pain.json,core_characterization,5,severity,severity,PAIN-015,Severity,How bad is it from 0 to 10?,SCALE_0_10,qualifier,,severity,,,,,
chest_pain,Chest Pain,chest_pain.json,core_characterization,6,location,location,PAIN-014,Location,Where exactly is the chest pain?,SHORT_TEXT,qualifier,ros:location,location,,,,,
chest_pain,Chest Pain,chest_pain.json,core_characterization,7,character,character,PAIN-016,Character,"What does the chest pain feel like, for example throbbing, sharp, dull, burning, cramping, pressure-like, stabbing, or aching?",SHORT_TEXT,qualifier,,character,,,,,
chest_pain,Chest Pain,chest_pain.json,core_characterization,8,aggravating_factors,aggravating_factors,PAIN-018,Aggravating factors,"What makes it worse, such as movement, coughing, eating, urinating, passing stool, touching it, or nothing?",SHORT_TEXT,qualifier,,aggravating_factors,,,,,
chest_pain,Chest Pain,chest_pain.json,core_characterization,9,relieving_factors,relieving_factors,PAIN-019,Relieving factors,"What makes it better, such as rest, lying still, medicines, food, passing urine or stool, or nothing?",SHORT_TEXT,qualifier,,relieving_factors,,,,,
chest_pain,Chest Pain,chest_pain.json,core_characterization,10,functional_impact,functional_impact,PAIN-020,Functional impact,"How is it affecting what you can do, such as walking, standing, eating, sleeping, breathing, or daily activities?",SHORT_TEXT,qualifier,,functional_impact,,,,,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,11,pain_at_rest,pain_at_rest,CPQ-001,Pain even at rest,Does the pain happen even when you are resting?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,pain_at_rest,,pain_at_rest_details,,FIELD_ALREADY_CAPTURED,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,12,exertional_trigger,exertional_trigger,EVENT-012,Worse with exertion,Does it come on or get worse with physical activity?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,exertional_trigger,,exertional_trigger_details,,FIELD_ALREADY_CAPTURED,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,13,upper_body_radiation,upper_body_radiation,CPQ-002,Upper body radiation,"Does the pain spread to your arm, shoulder, neck, or jaw?",BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:chest_pain,upper_body_radiation,,arm_or_jaw_radiation_details,,FIELD_ALREADY_CAPTURED,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,14,diaphoresis,diaphoresis,CON-002,Sweating,Have you broken out into a sweat with it?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,diaphoresis,,diaphoresis_details,,FIELD_ALREADY_CAPTURED,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,15,nausea,nausea,GI-007,Nausea,Have you felt nauseated?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:nausea,nausea,,nausea_details,,FIELD_ALREADY_CAPTURED,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,16,shortness_of_breath,shortness_of_breath,RESP-001,Difficulty in breathing,Have you had any difficulty in breathing?,BOOLEAN_WITH_OPTIONAL_DETAILS,parent_symptom,ros:shortness_of_breath,shortness_of_breath,,shortness_of_breath_details,,FIELD_ALREADY_CAPTURED,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,17,tearing_pain,tearing_pain,PAIN-002,Tearing pain,Does the pain feel tearing or ripping?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,,tearing_pain,,tearing_pain_details,,FIELD_ALREADY_CAPTURED|SEVERITY_BELOW_7,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,18,radiation,radiation,PAIN-017,Radiation,"Does the pain travel anywhere else, such as the back, groin, chest, shoulder, or leg? If yes, where?",SHORT_TEXT,qualifier,,radiation,,,,FIELD_ALREADY_CAPTURED,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,19,pleuritic_pain,pleuritic_pain,RESP-008,Worse with deep breathing,Is it worse when you take a deep breath or cough?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:pleuritic_pain,pleuritic_pain,,pleuritic_component_details,,FIELD_ALREADY_CAPTURED,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,20,hemoptysis,hemoptysis,RESP-004,Coughing up blood,Have you coughed up blood?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:hemoptysis,hemoptysis,,hemoptysis_details,,FIELD_ALREADY_CAPTURED,
chest_pain,Chest Pain,chest_pain.json,high_priority_followup,21,leg_swelling,leg_swelling,CV-001,Leg swelling,Have you had swelling in one or both legs?,BOOLEAN_WITH_OPTIONAL_DETAILS,qualifier,ros:leg_swelling,leg_swelling,,leg_swelling_details,,FIELD_ALREADY_CAPTURED,
